RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
727,0.002616889309,727,0.004005135037,727,0.002912936034,727,0.003023680067,
726,0.002608112991,726,0.004018720705,726,0.002874968108,726,0.002999412362,
725,0.00252549001,725,0.003930448089,725,0.002788047772,725,0.002948197071,
724,0.002589076757,724,0.004029067233,724,0.002864831826,724,0.002986562438,
723,0.002542310162,723,0.004039701074,723,0.002930813702,723,0.002940821461,
722,0.002474538749,722,0.004058461171,722,0.002944000997,722,0.003021777142,
721,0.002446995582,721,0.003968847916,721,0.002836638596,721,0.002878147177,
720,0.002392617753,720,0.003980368841,720,0.002908036811,720,0.002971158596,
719,0.002390977927,719,0.003981021699,719,0.002894590143,719,0.002961228369,
718,0.002360134851,718,0.004013208207,718,0.002918539103,718,0.002978169592,
717,0.002327472204,717,0.004066404421,717,0.002951767528,717,0.002947336994,
716,0.002209854778,716,0.003960174974,716,0.00289545022,716,0.002904649125,
715,0.002302124398,715,0.004010648001,715,0.002916558413,715,0.002899020212,
714,0.002227053046,714,0.004005265888,714,0.002910616808,714,0.002919972409,
713,0.002248597331,713,0.004011274781,713,0.002954008989,713,0.002919685794,
712,0.002238241257,712,0.00398420915,712,0.002920128871,712,0.002851021476,
711,0.002129336353,711,0.003978435416,711,0.002851438476,711,0.002835856983,
710,0.002227495424,710,0.004024547059,710,0.002977882978,710,0.002999386285,
709,0.002165522194,709,0.003981465939,709,0.002959065139,709,0.002915229416,
708,0.002139559714,708,0.004012476653,708,0.002916532569,708,0.002884010319,
707,0.002201190917,707,0.00408542715,707,0.00295690191,707,0.002922656713,
706,0.00211729249,706,0.004028832074,706,0.002934983699,706,0.002883384936,
705,0.002107589971,705,0.003976815846,705,0.002930891933,705,0.002802611329,
704,0.002107095672,704,0.00401958311,704,0.002898316598,704,0.002852741396,
703,0.00205830019,703,0.004002731759,703,0.002898212289,703,0.00283603929,
702,0.002073567826,702,0.003998342436,702,0.002958413446,702,0.002829603618,
701,0.002023839625,701,0.004029563628,701,0.002880075481,701,0.002798286499,
