RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
727,0.007330717053,727,0.001998769818,727,0.00355623872,727,0.005734181497,
726,0.007413364481,726,0.002035282785,726,0.003572028829,726,0.005772138014,
725,0.007499767002,725,0.002140262164,725,0.003666833509,725,0.005865823478,
724,0.007345328573,724,0.002036505146,724,0.003589072265,724,0.005751388613,
723,0.007314026356,723,0.002022799337,723,0.003634333378,723,0.005788716953,
722,0.00742874248,722,0.00205104379,722,0.003666337347,722,0.005774367601,
721,0.007433166262,721,0.002106211381,721,0.003637779038,721,0.005790763535,
720,0.007400172297,720,0.002027896699,720,0.003633028129,720,0.005770275369,
719,0.007322213612,719,0.002024983987,719,0.003605490085,719,0.005760726985,
718,0.007433587685,718,0.002085974673,718,0.003702964867,718,0.005827832967,
717,0.007450151257,717,0.002063111868,717,0.00362326554,717,0.005748712923,
716,0.007356544491,716,0.002074035816,716,0.003641459625,716,0.005762956571,
715,0.007294440642,715,0.002118957229,715,0.003646027995,715,0.005712306127,
714,0.007297757547,714,0.002036453225,714,0.003637152491,714,0.005794357508,
713,0.007330453955,713,0.001977524022,713,0.003621803829,713,0.005712988321,
712,0.007444120944,712,0.002042382956,712,0.003664849559,712,0.005749290343,
711,0.00744046038,711,0.00209109881,711,0.003748551244,711,0.005802673288,
710,0.007365153637,710,0.002070706571,710,0.003644461744,710,0.005811855663,
709,0.007371051703,709,0.002035855083,709,0.003676205408,709,0.005755638238,
708,0.007352516055,708,0.002037649509,708,0.003705523442,708,0.005831820425,
707,0.00733719347,707,0.002110581379,707,0.003682262031,707,0.005828882102,
706,0.007335403468,706,0.002088965848,706,0.003693670733,706,0.005815423559,
705,0.007331191096,705,0.001941301743,705,0.003646288998,705,0.005750444252,
704,0.007361836266,704,0.002087613335,704,0.00370184239,704,0.005790920928,
703,0.007330322172,703,0.002067299327,703,0.003659367329,703,0.005796823185,
702,0.007354991045,702,0.002067845548,702,0.003690564074,702,0.005849871319,
701,0.007404385135,701,0.002112558344,701,0.003748002928,701,0.005876030307,
700,0.007345539518,700,0.002033488359,700,0.003689232515,700,0.005828357302,
699,0.00739590684,699,0.002083763713,699,0.003751292825,699,0.005899567157,
698,0.007345618214,698,0.002051668009,698,0.003690929385,698,0.00583780231,
697,0.007303443737,697,0.002036401303,697,0.003728577169,697,0.005846381653,
696,0.007355517708,696,0.002136412077,696,0.00378649123,696,0.005912424996,
695,0.007341905963,695,0.002082697349,695,0.003768186551,695,0.005953283515,
694,0.007316237781,694,0.002028026851,694,0.00367119303,694,0.005857112817,
693,0.00731186755,693,0.002068339847,693,0.003746566828,693,0.00589843886,
692,0.007396538742,692,0.002144762548,692,0.003811142175,692,0.00592874689,
691,0.007336640731,691,0.00207003043,691,0.003813832067,691,0.005963492207,
690,0.007373605389,690,0.002177333459,690,0.003834854579,690,0.005972520448,
689,0.007410125341,689,0.002142030979,689,0.003877268173,689,0.005972861312,
688,0.007396538742,688,0.002133758739,688,0.003844230203,688,0.005963387433,
687,0.007361256983,687,0.002081448678,687,0.003832608694,687,0.005975774489,
686,0.007388850208,686,0.002107616048,686,0.003819498932,686,0.005943626165,
685,0.007412179373,685,0.002091020579,685,0.003849792993,685,0.005980813876,
684,0.007435457315,684,0.002176475013,684,0.003878861433,684,0.006050971802,
683,0.007455971092,683,0.002211207757,683,0.003907122184,683,0.006090032402,
682,0.007398908492,682,0.00215527229,682,0.003889700631,682,0.006053176709,
681,0.007420684677,681,0.002135943854,681,0.003858176293,681,0.006045617163,
680,0.007484702393,680,0.002184852026,680,0.003930239007,680,0.006069084164,
679,0.007451388985,679,0.002207487123,679,0.003922402859,679,0.006086620037,
678,0.007500320207,678,0.002197548281,678,0.003967515659,678,0.006101084407,
677,0.007453469094,677,0.002166302642,677,0.003938336857,677,0.006070212927,
676,0.007448360324,676,0.002168722218,676,0.00390012213,676,0.006107463967,
675,0.007556052413,675,0.002246255521,675,0.003981701098,675,0.006129385438,
674,0.007468084805,674,0.002196403686,674,0.003981779329,674,0.006140858401,
673,0.007571119349,673,0.00228817598,673,0.004083101638,673,0.006225222722,
672,0.007506351452,672,0.00223220489,672,0.004087282345,672,0.006216740701,
671,0.007529370487,671,0.002236524131,671,0.003993143793,671,0.006146161817,
670,0.0074942098,670,0.002231684513,670,0.003977912944,670,0.006208968349,
669,0.007566983812,669,0.002227209043,669,0.004035416059,669,0.006216924638,
668,0.00758976955,668,0.002231580438,668,0.004040380474,668,0.006240269635,
667,0.007540327497,667,0.002295046113,667,0.004058278166,667,0.006223856937,
666,0.007596855517,666,0.002300641034,666,0.004079887643,666,0.006250642706,
665,0.007589374203,665,0.002280005021,665,0.004076621495,665,0.00626001833,
664,0.007573753595,664,0.002265849151,664,0.004093240481,664,0.006297731772,
663,0.007588452194,663,0.002317270497,663,0.004085296765,663,0.006319583859,
662,0.007594458293,662,0.002340849256,662,0.004093135707,662,0.006345403381,
661,0.007646540646,661,0.002337595914,661,0.004116524011,661,0.006333741359,
660,0.007626465987,660,0.002346991329,660,0.00414960878,660,0.006335001905,
659,0.007584501058,659,0.002292469842,659,0.004126062151,659,0.006300646812,
658,0.007619827054,658,0.002307225019,658,0.004153398331,658,0.006386986002,
657,0.007647225633,657,0.002388322959,657,0.004149216693,657,0.00638262555,
656,0.007652706001,656,0.002333275741,656,0.004161212593,656,0.006374534685,
655,0.007643511053,655,0.002377807628,655,0.004173888359,655,0.006430464331,
654,0.00766137382,654,0.002406413434,654,0.004183584824,654,0.006431541406,
653,0.007734571118,653,0.002406673739,653,0.004247205798,653,0.006452244241,
