10uMRB_20uMFFA_1mMISOP;RB1;10uMPN_20uMFFA_1mMISOP;PN1;20uMFFA_1mMISOP;BLANK1;10µMRB_20µMFFA_isop;RB2;10µMPN_20µMFFA_isop-no2;PN2;10µMRB_20µMFFA_1mMisop_no3;RB3;10µMPN_20µMFFA_1mMisop_no3;PN3;30uMJUG_20uMFFA_1mMisop;JUG1;30uM_JUG_20uM_FFA_1mMisop_no2;JUG2;20uM_FFA_1mMisop;BLANK2;30uMJUG_20uMFFA_1mMisop;JUG3;40mgprL_LIG_20uMFFA_1mMisop;LIG2;40mgCprL_LIG_27082024;LIG3;30uMPN_20uMFFA_1mMisop_no1;PN5;30uMPN_20uMFFA_1mMisop_no2;PN6;10uMPN_20uMFFA_1mMisop_no1;PN4
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
790.9828491;0.0008543519652;790.9828491;0.002389390254;790.9885254;-0.0007636889932;790.9885254;0.005402131472;790.9885254;0.006179664284;791.0029297;0.0003419329005;791.0029297;0.0001398326276;790.9868164;-0.0004696797987;790.9907837;0.00217683916;790.9907837;-0.000764619268;790.9868164;-0.0004696797987;790.9868164;0.001967876451;790.9867554;0.002321902895;791.0056763;0.0002901491825;791.0056763;0.0002106075262;790.9991455;-0.0003763741697
790.0117798;0.0007519908831;790.0117798;0.001721017179;789.9829102;-0.0002608004725;789.9829102;0.004852856044;789.9829102;0.006460126489;789.9971924;0.0004729611101;789.9971924;0.0001872217836;790.0157471;0.0002031229087;789.9849854;0.002397042699;789.9849854;-0.0006877630367;790.0157471;0.0002031229087;790.0157471;0.001935789362;790.0153809;0.001862470992;789.9997559;0.0005933491047;789.9997559;0.0004930968862;789.9934082;-0.0003342145355
789.0057373;0.001125944778;789.0057373;0.002531270264;789.0115356;-0.0003226781264;789.0115356;0.005353435874;789.0115356;0.007167101838;788.9909668;0.0003605599632;788.9909668;0.0002888540039;789.0095825;0.0001523915416;789.0133667;0.001413990627;789.0133667;-0.001221186365;789.0095825;0.0001523915416;789.0095825;0.002288644435;789.0090332;0.001940911636;788.9934692;0.0005833176547;788.9934692;-0.0004615603248;788.9871826;0.0001080096918
787.9992065;0.001018875162;787.9992065;0.002346835099;788.005127;-0.0002193540568;788.005127;0.006105678622;788.005127;0.00739772385;787.984375;-0.0001352072431;787.984375;6.345114525E-005;788.0029907;-0.0005436273641;788.0067749;0.00183683855;788.0067749;-0.0004919688217;788.0029907;-0.0005436273641;788.0029907;0.002714064438;788.0022583;0.002616524696;787.9868774;0.0003137218009;787.9868774;0.0006139052566;788.0153809;-0.0005329238484
786.9923096;0.0008231768734;786.9923096;0.002603581641;786.9981689;-0.0008084424189;786.9981689;0.005154229701;786.9981689;0.006076276768;787.012085;-0.0001953950996;787.012085;-0.0006818703259;786.9960938;-0.001288140891;786.9996338;0.00192900293;786.9996338;-2.904308531E-005;786.9960938;-0.001288140891;786.9960938;0.002289945493;786.9950562;0.002199291484;787.0145264;0.0003383060102;787.0145264;0.0005351077416;787.0083008;0.0001316759881
785.9849854;0.001339124516;785.9849854;0.00229845522;785.9909668;-0.0005331306602;785.9909668;0.005660061724;785.9909668;0.006031180732;786.0048218;-0.0002491068735;786.0048218;-0.0007481844514;785.9886475;-0.0009926786879;785.9922485;0.002341656014;785.9922485;0.0001300187869;785.9886475;-0.0009926786879;785.9886475;0.001434455742;785.9874878;0.0020476887;786.0070801;0.0008395940531;786.0070801;0.0005614670226;786.0010376;-7.133586769E-005
785.0120239;0.000756088004;785.0120239;0.002388505265;784.9832764;-0.001303316443;784.9832764;0.005061483011;784.9832764;0.004044978879;784.9969482;-0.000459336472;784.9969482;-0.0008012077888;785.0157471;7.595607167E-005;784.984436;0.00180192769;784.984436;-0.0008113879594;785.0157471;7.595607167E-005;785.0157471;0.002330204705;785.0142212;0.002258407185;784.9992065;0.0006967358058;784.9992065;0.0001803331979;784.9931641;-0.0003280066303
784.0039063;0.0009255546611;784.0039063;0.002052760217;784.0100098;-0.0009686074336;784.0100098;0.005118082277;784.0100098;0.003527948633;783.9887695;-0.0004985363339;783.9887695;-0.0001299798751;784.0075684;-0.0001118129876;784.0109253;0.001677228371;784.0109253;-0.001140589826;784.0075684;-0.0001118129876;784.0075684;0.002424452454;784.0058594;0.002030549571;783.9910278;-0.0001929111604;783.9910278;4.185962825E-005;783.9849854;-0.0003339558607
782.9954224;0.0009447516059;782.9954224;0.002265927149;783.0015869;-0.0007410004619;783.0015869;0.005660323892;783.0015869;0.00284534134;783.0150146;-0.000528114906;783.0150146;-0.0001950328588;782.9990234;-0.0003707358555;783.0021973;0.001880617463;783.0021973;-0.0006983076455;782.9990234;-0.0003707358555;782.9990234;0.002462563338;782.9970703;0.001685959753;783.0171509;0.0004603670095;783.0171509;0.000438729825;783.0112305;0.0003544976644
781.9864502;0.0004627510498;781.9864502;0.001331776148;781.9926758;-0.0004769717052;781.9926758;0.005898753647;781.9926758;0.001012777793;782.0060425;0.0001194024953;782.0060425;-0.0009340994293;781.9901123;0.0001155185528;781.9932251;0.001729437616;781.9932251;-0.0006236109766;781.9901123;0.0001155185528;781.9901123;0.002716669114;781.987793;0.00158381823;782.0081177;0.0008221135358;782.0081177;0.0002290476696;782.0022583;0.0006384287262
