Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
 479,91; 2748,226;   12,006;    0,000;105,11758; 4,21627
 480,68; 2913,235;   10,006;    0,000;111,36250; 4,47392
 481,45; 3090,252;    8,006;    0,000;118,21534; 4,75683
 482,22; 3163,297;   12,006;    0,000;120,75404; 4,86675
 482,99; 3171,199;   11,006;    0,000;121,06433; 4,88704
 483,76; 3135,315;    9,006;    0,000;119,61346; 4,83616
 484,53; 3047,199;    9,006;    0,000;116,14894; 4,70355
 485,30; 2968,181;   11,006;    0,000;113,03537; 4,58473
 486,06; 2871,163;    8,006;    0,000;109,28181; 4,43951
 486,83; 2803,199;   10,006;    0,000;106,52271; 4,33428
 487,60; 2731,270;   11,006;    0,000;103,71361; 4,22664
 488,37; 2711,146;   10,006;    0,000;102,85930; 4,19844
 489,14; 2706,208;   10,006;    0,000;102,59629; 4,19430
 489,91; 2705,350;    8,006;    0,000;102,52483; 4,19796
 490,68; 2737,154;    9,006;    0,000;103,59237; 4,24833
 491,45; 2873,199;    7,006;    0,000;108,79376; 4,46863
 492,22; 3090,333;    9,006;    0,000;116,87434; 4,80805
 492,98; 3178,110;    6,006;    0,000;120,17439; 4,95153
 493,75; 3111,315;    7,006;    0,000;117,51171; 4,84937
 494,52; 2963,056;   10,006;    0,000;111,77439; 4,61979
 495,29; 2852,056;   10,006;    0,000;107,46070; 4,44840
 496,06; 2765,056;    8,006;    0,000;104,20748; 4,32042
 496,83; 2737,012;    9,006;    0,000;102,98908; 4,27652
 497,60; 2713,950;   10,006;    0,000;102,03099; 4,24329
 498,36; 2677,030;    7,006;    0,000;100,68008; 4,19358
 499,13; 2662,896;   10,006;    0,000;99,95175; 4,16966
 499,90; 2675,967;    8,006;    0,000;100,47562; 4,19796
 500,67; 2642,039;    8,006;    0,000;99,15852; 4,14930
 501,44; 2653,843;    6,006;    0,000;99,66731; 4,17699
 502,21; 2649,878;    7,006;    0,000;99,45603; 4,17452
 502,97; 2679,807;    8,006;    0,000;100,59509; 4,22879
 503,74; 2677,887;    8,006;    0,000;100,54594; 4,23318
 504,51; 2690,567;    9,006;    0,000;101,00973; 4,25919
 505,28; 2688,531;    8,006;    0,000;101,01046; 4,26570
 506,05; 2632,504;    5,006;    0,000;99,06543; 4,18992
 506,81; 2626,602;    7,006;    0,000;98,67585; 4,17978
 507,58; 2632,353;   10,007;    0,000;98,74566; 4,18907
 508,35; 2635,424;    8,006;    0,000;98,85477; 4,20004
 509,12; 2641,344;    7,007;    0,000;98,89566; 4,20813
 509,88; 2632,264;    9,007;    0,000;98,44336; 4,19520
 510,65; 2640,237;    8,007;    0,000;98,63900; 4,20986
 511,42; 2641,032;   10,007;    0,000;98,60861; 4,21489
 512,19; 2628,077;    7,007;    0,000;98,03198; 4,19653
 512,95; 2666,979;    8,007;    0,000;99,20603; 4,25315
 513,72; 2662,685;    7,007;    0,000;98,94243; 4,24820
 514,49; 2701,569;    8,007;    0,000;100,28310; 4,31219
 515,26; 2667,623;    8,007;    0,000;98,86830; 4,25770
 516,02; 2697,489;   10,007;    0,000;99,83895; 4,30590
 516,79; 2707,257;   11,007;    0,000;100,06900; 4,32224
 517,56; 2691,204;    7,007;    0,000;99,57912; 4,30746
 518,33; 2688,168;    8,007;    0,000;99,35378; 4,30408
 519,09; 2683,928;   11,007;    0,000;99,02574; 4,29622
 519,86; 2699,759;    7,007;    0,000;99,75287; 4,33416
 520,63; 2702,635;   10,007;    0,000;99,57947; 4,33301
 521,39; 2683,679;   10,007;    0,000;98,87309; 4,30861
 522,16; 2694,723;    7,007;    0,000;99,35798; 4,33611
 522,93; 2678,767;   11,007;    0,000;98,60125; 4,30941
 523,69; 2676,811;    9,007;    0,000;98,59343; 4,31538
 524,46; 2681,855;   10,007;    0,000;98,76924; 4,32941
 525,23; 2693,899;   12,007;    0,000;99,11335; 4,35084
 525,99; 2678,944;   11,007;    0,000;98,53484; 4,33176
 526,76; 2685,988;   11,007;    0,000;98,82566; 4,35087
 527,53; 2668,032;   10,007;    0,000;98,07904; 4,32429
 528,29; 2693,076;   11,007;    0,000;98,95402; 4,36920
 529,06; 2689,120;   11,007;    0,000;98,79961; 4,36871
 529,83; 2677,164;    9,007;    0,000;98,41416; 4,35797
 530,59; 2685,208;   11,007;    0,000;98,65421; 4,37492
 531,36; 2674,252;   11,007;    0,000;98,17928; 4,36015
 532,12; 2689,296;   12,007;    0,000;98,67506; 4,38849
 532,89; 2686,341;   12,007;    0,000;98,56722; 4,39000
 533,66; 2667,385;   11,006;    0,000;97,89011; 4,36611
 534,42; 2677,429;   11,006;    0,000;98,20058; 4,38625
 535,19; 2705,473;   11,006;    0,000;99,20675; 4,43754
 535,95; 2678,517;   10,006;    0,000;98,35914; 4,40592
 536,72; 2674,561;   11,006;    0,000;98,20392; 4,40525
 537,49; 2666,605;   11,006;    0,000;97,92549; 4,39903
 538,25; 2659,649;   12,006;    0,000;97,57821; 4,38968
 539,02; 2682,693;   12,006;    0,000;98,36217; 4,43124
 539,78; 2657,738;   11,006;    0,000;97,38475; 4,39344
 540,55; 2696,782;   10,006;    0,000;98,67880; 4,45813
 541,31; 2678,826;   11,006;    0,000;97,85758; 4,42729
 542,08; 2716,870;   13,006;    0,000;98,95130; 4,48311
 542,85; 2706,914;   12,006;    0,000;98,38841; 4,46390
 543,61; 2721,958;   11,006;    0,000;98,65624; 4,48236
 544,38; 2738,002;   11,006;    0,000;98,85270; 4,49761
 545,14; 2718,046;    8,006;    0,000;97,79946; 4,45595
 545,91; 2765,090;   11,006;    0,000;98,81793; 4,50867
 546,67; 2784,135;   12,006;    0,000;98,77050; 4,51282
 547,44; 2790,179;   13,006;    0,000;98,26857; 4,49617
 548,20; 2805,223;    9,006;    0,000;98,26223; 4,50217
 548,97; 2806,267;   10,006;    0,000;97,62546; 4,47923
 549,73; 2810,311;    9,006;    0,000;97,25761; 4,46858
 550,50; 2850,355;   10,006;    0,000;98,19666; 4,51800
 551,26; 2841,399;   10,006;    0,000;97,75191; 4,50379
 552,03; 2841,443;    8,006;    0,000;97,90767; 4,51722
 552,79; 2825,487;    9,006;    0,000;97,43818; 4,50179
 553,56; 2849,532;    8,006;    0,000;98,60869; 4,56217
 554,32; 2836,576;    7,006;    0,000;98,49611; 4,56326
 555,09; 2818,620;    7,006;    0,000;98,24294; 4,55781
 555,85; 2810,664;    9,006;    0,000;98,30095; 4,56678
 556,62; 2787,708;    6,006;    0,000;97,87834; 4,55340
 557,38; 2777,752;    8,006;    0,000;97,78837; 4,55546
 558,14; 2771,796;    5,006;    0,000;97,97168; 4,57026
 558,91; 2758,840;    6,006;    0,000;97,76645; 4,56693
 559,67; 2750,884;    8,006;    0,000;97,65672; 4,56805
 560,44; 2744,929;    7,006;    0,000;97,73613; 4,57800
 561,20; 2725,973;    5,006;    0,000;97,34675; 4,56598
 561,97; 2717,017;   10,006;    0,000;97,02705; 4,55718
 562,73; 2714,061;    8,006;    0,000;97,15211; 4,56926
 563,49; 2701,105;    7,006;    0,000;96,89091; 4,56317
 564,26; 2706,149;    9,006;    0,000;97,14430; 4,58130
 565,02; 2677,193;    7,006;    0,000;96,29934; 4,54760
 565,79; 2689,237;   10,006;    0,000;96,79375; 4,57713
 566,55; 2659,281;    6,006;    0,000;95,99682; 4,54557
 567,31; 2674,326;    9,005;    0,000;96,54501; 4,57770
 568,08; 2689,370;    8,005;    0,000;97,30346; 4,61987
 568,84; 2650,414;    9,005;    0,000;96,03936; 4,56598
 569,60; 2662,458;    9,005;    0,000;96,57148; 4,59744
 570,37; 2666,502;   10,005;    0,000;96,83616; 4,61622
 571,13; 2670,546;    9,005;    0,000;97,07927; 4,63401
 571,90; 2644,590;   11,005;    0,000;96,13420; 4,59503
 572,66; 2652,634;    8,005;    0,000;96,63435; 4,62510
 573,42; 2670,678;   10,005;    0,000;97,18906; 4,65785
 574,19; 2647,722;   11,005;    0,000;96,28215; 4,62053
 574,95; 2672,767;   10,005;    0,000;97,14140; 4,66796
 575,71; 2674,811;   11,005;    0,000;96,96193; 4,66552
 576,48; 2671,855;    8,005;    0,000;96,80236; 4,66402
 577,24; 2659,899;   10,005;    0,000;96,16297; 4,63935
 578,00; 2667,943;   10,005;    0,000;96,38767; 4,65633
 578,76; 2647,987;   12,005;    0,000;95,57563; 4,62320
 579,53; 2669,031;   13,005;    0,000;96,26674; 4,66277
 580,29; 2674,075;   11,005;    0,000;96,65270; 4,68763
 581,05; 2675,119;   11,005;    0,000;96,80810; 4,70134
 581,82; 2646,164;   11,005;    0,000;95,88033; 4,66239
 582,58; 2664,208;   10,005;    0,000;96,68595; 4,70773
 583,34; 2672,252;   10,005;    0,000;97,08179; 4,73320
 584,10; 2675,296;   10,005;    0,000;97,26235; 4,74820
 584,87; 2662,340;   11,005;    0,000;96,88969; 4,73618
 585,63; 2700,384;   10,005;    0,000;98,38821; 4,81570
 586,39; 2687,428;   13,005;    0,000;97,88946; 4,79753
 587,15; 2688,472;   12,005;    0,000;98,04429; 4,81136
 587,92; 2688,516;   11,005;    0,000;98,14774; 4,82270
