RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,-0.001851759851,800,-0.003372034989,800,-0.002355745761,800,-0.00459178118,
799,-0.001847223262,799,-0.003320506308,799,-0.002313571749,799,-0.004434484523,
798,-0.001845831401,798,-0.003294097492,798,-0.002393281553,798,-0.004456929397,
797,-0.001962478738,797,-0.003286493011,797,-0.002352244221,797,-0.004584660288,
796,-0.002028236864,796,-0.003453297075,796,-0.002525223885,796,-0.004649664275,
795,-0.001978713088,795,-0.003352513304,795,-0.002509318758,795,-0.004717884585,
794,-0.001851966139,794,-0.00330987107,794,-0.00240744045,794,-0.004518109839,
793,-0.001902689924,793,-0.003385956399,793,-0.002359710634,793,-0.004680498037,
792,-0.001914442168,792,-0.003543325234,792,-0.002399768913,792,-0.004646488465,
791,-0.001985464245,791,-0.003399158362,791,-0.002322944114,791,-0.004497665912,
790,-0.001780870603,790,-0.003362171585,790,-0.002286174567,790,-0.004441607278,
789,-0.001802679966,789,-0.003257821081,789,-0.002258827211,789,-0.00445846701,
788,-0.001773549011,788,-0.0032768331,788,-0.002254037419,788,-0.004434279166,
787,-0.001837325166,787,-0.003298207885,787,-0.002280406421,787,-0.004450318869,
786,-0.001959180227,786,-0.003322664183,786,-0.002341430634,786,-0.00453271158,
785,-0.001886091894,785,-0.003203452332,785,-0.002259548288,785,-0.004415010568,
784,-0.001866915845,784,-0.003375785192,784,-0.002295959508,784,-0.00448337011,
783,-0.00182216824,783,-0.003242097097,783,-0.002321296139,783,-0.004560633563,
782,-0.001890061074,782,-0.003245128784,782,-0.002395083662,782,-0.004518724512,
781,-0.001902689924,781,-0.003259979188,781,-0.002318412531,781,-0.004607507493,
780,-0.001859956537,780,-0.003222826403,780,-0.002292045625,780,-0.004369653296,
779,-0.001846192288,779,-0.003247749526,779,-0.002308216179,779,-0.004471635912,
778,-0.001893514767,778,-0.003174158279,778,-0.002372737741,778,-0.004361503758,
777,-0.00196727179,777,-0.003286595689,777,-0.002364962595,777,-0.004478400107,
776,-0.001897071372,776,-0.003213833319,776,-0.002251977101,776,-0.004455136135,
775,-0.001901349751,775,-0.003243484534,775,-0.002296010964,775,-0.004426028579,
774,-0.002018085215,774,-0.003345783334,774,-0.002472462133,774,-0.004575490486,
773,-0.00189207145,773,-0.003218304133,773,-0.002334685065,773,-0.004428232089,
772,-0.001886195038,772,-0.003160641063,772,-0.002308267634,772,-0.004379647784,
771,-0.001798039768,771,-0.003149179509,771,-0.002272887388,771,-0.004393126816,
770,-0.001942790579,770,-0.003111092141,770,-0.002293384634,770,-0.004423056263,
769,-0.001949284691,769,-0.00321773882,769,-0.002367588691,769,-0.004374624696,
768,-0.001880473224,768,-0.003163159592,768,-0.00233097747,768,-0.004339361563,
767,-0.001884957892,767,-0.003142703325,767,-0.002296062419,767,-0.004299840424,
766,-0.001932018436,766,-0.003168915864,766,-0.002263050526,766,-0.004395586904,
765,-0.001958304085,765,-0.003108059289,765,-0.002268406563,765,-0.004339873791,
764,-0.00180082384,764,-0.003129339544,764,-0.002214016858,764,-0.004346075933,
763,-0.001803762629,763,-0.003086212557,763,-0.002239564434,763,-0.0042797965,
762,-0.001863513491,762,-0.003132423619,762,-0.002299718792,762,-0.004368986934,
761,-0.001960984198,761,-0.003019688884,761,-0.002280406421,761,-0.004363502841,
760,-0.001969384728,760,-0.003112274222,760,-0.002264543902,760,-0.004345614463,
759,-0.001902793068,759,-0.003034752794,759,-0.002308730967,759,-0.004345153458,
758,-0.001924854005,758,-0.003148151562,758,-0.00239117071,758,-0.004322856199,
757,-0.001909854705,757,-0.003047348466,757,-0.002385970438,757,-0.00425190758,
756,-0.001832427573,756,-0.003105026437,756,-0.002289676573,756,-0.00437165238,
755,-0.001954541774,755,-0.003138231579,755,-0.002341997111,755,-0.004266211297,
754,-0.001949954662,754,-0.003002927871,754,-0.002209226601,754,-0.004280103836,
753,-0.001907328959,753,-0.003050535917,753,-0.00232036924,753,-0.00424021855,
752,-0.001896710601,752,-0.002964673331,752,-0.002228851197,752,-0.004276310559,
751,-0.002012158977,751,-0.003035215428,751,-0.002346168039,751,-0.004282769747,
750,-0.001843975508,750,-0.00292363856,750,-0.00223003584,750,-0.004261392169,
749,-0.001912741223,749,-0.002963387873,749,-0.002243375871,749,-0.004263032693,
748,-0.001910164021,748,-0.002960508456,748,-0.002315734746,748,-0.004185562488,
747,-0.001834335038,747,-0.002838573884,747,-0.00206106063,747,-0.004160693381,
746,-0.001923720003,746,-0.002968838438,746,-0.002283496549,746,-0.004221812822,
745,-0.001873565721,745,-0.002977373777,745,-0.002302808687,745,-0.004178742878,
744,-0.001890731161,744,-0.002913044998,744,-0.002188570797,744,-0.004239500966,
743,-0.001985000446,743,-0.002907696646,743,-0.002236319706,743,-0.004120181315,
742,-0.001936605666,742,-0.002850197954,742,-0.002224679105,742,-0.004110027105,
741,-0.001930678263,741,-0.002755653346,741,-0.002222206676,741,-0.004127412103,
740,-0.001979382941,740,-0.002971614944,740,-0.002238791902,740,-0.004211865831,
739,-0.001923256204,739,-0.002902142471,739,-0.00223745266,739,-0.004219915718,
738,-0.001945212949,738,-0.002840991365,738,-0.002312850906,738,-0.004110591486,
737,-0.002046581358,737,-0.002867582021,737,-0.002310018521,737,-0.004141360987,
736,-0.002030298114,736,-0.002906256588,736,-0.002201294061,736,-0.004222735297,
735,-0.002041273983,735,-0.00294806459,735,-0.002307443647,735,-0.004256060347,
734,-0.001968972618,734,-0.002884811256,734,-0.002285917057,734,-0.004159924109,
733,-0.001976187807,733,-0.002873342251,733,-0.002330565359,733,-0.00421048142,
732,-0.001983969705,732,-0.002901576692,732,-0.002300645923,732,-0.004192279652,
731,-0.002028958406,731,-0.002856678562,731,-0.002364705084,731,-0.004168846179,
730,-0.002053331584,730,-0.002964981832,730,-0.002399614546,730,-0.004276207648,
729,-0.002054465236,729,-0.002816816559,729,-0.002341224812,729,-0.004267390352,
728,-0.002056938596,728,-0.002898491221,728,-0.002386021893,728,-0.004233348649,
727,-0.002031586366,727,-0.002847471973,727,-0.002370626666,727,-0.004286460578,
726,-0.002037151717,726,-0.00292631262,726,-0.002355694072,726,-0.004277181812,
725,-0.002062194282,725,-0.00282607507,725,-0.002352501731,725,-0.00423529651,
724,-0.002068480477,724,-0.002715524752,724,-0.002310791053,724,-0.004172692075,
723,-0.002137210686,723,-0.002859198721,723,-0.002435447881,723,-0.004335414618,
722,-0.002100528451,722,-0.002867273521,722,-0.002355539706,722,-0.00426928699,
721,-0.002118612407,721,-0.002955109114,721,-0.002443633508,721,-0.004312193953,
720,-0.002122630831,720,-0.002872313838,720,-0.002364962595,720,-0.004303274676,
719,-0.002167244442,719,-0.002857655752,719,-0.002451098058,719,-0.004266621079,
718,-0.002204642165,718,-0.002950686961,718,-0.002438227879,718,-0.004310194869,
717,-0.002160805278,717,-0.00283389329,717,-0.00238911109,717,-0.004225606564,
716,-0.002144217025,716,-0.002809872385,716,-0.00242715911,716,-0.004233245738,
715,-0.002302499721,715,-0.002903839573,715,-0.002464740304,715,-0.004371190909,
714,-0.002085174667,714,-0.002866193419,714,-0.002367279725,714,-0.004219864495,
713,-0.002176516922,713,-0.002817330882,713,-0.002419076161,713,-0.00424314104,
712,-0.002207578393,712,-0.002858272986,712,-0.002468807157,712,-0.004231707659,
711,-0.002243375871,711,-0.002871490782,711,-0.002533356193,711,-0.004410500638,
710,-0.002271548379,710,-0.002784975572,710,-0.002495574998,710,-0.004346793517,
709,-0.00225171959,709,-0.002834150568,709,-0.002498303307,709,-0.00429491885,
708,-0.002274947474,708,-0.002806323115,708,-0.002488986123,708,-0.004254471045,
707,-0.002346940571,707,-0.002891754033,707,-0.002571957652,707,-0.004355404526,
706,-0.002288904041,706,-0.002796652727,706,-0.002493876498,706,-0.004296456929,
705,-0.002325621899,705,-0.002821188653,705,-0.002462114906,705,-0.004266980104,
704,-0.002280149143,704,-0.002808946418,704,-0.002496553119,704,-0.00427779695,
703,-0.002377938014,703,-0.002845569048,703,-0.002590536606,703,-0.004384824075,
702,-0.002390089445,702,-0.002873085206,702,-0.002566244919,702,-0.004365604371,
701,-0.002406513784,701,-0.002820982831,701,-0.002510708524,701,-0.004364066757,
700,-0.002371759387,700,-0.002782969503,700,-0.002527334262,700,-0.004322548863,
699,-0.00238911109,699,-0.002848140663,699,-0.00248867739,699,-0.004383747932,
698,-0.002338444116,698,-0.002802722389,698,-0.002532532671,698,-0.004335465841,
697,-0.002448215149,697,-0.002861153102,697,-0.00263993931,697,-0.004434279166,
696,-0.002386536682,696,-0.002770726336,696,-0.00255240011,696,-0.004335721955,
695,-0.002391531132,695,-0.002772629727,695,-0.002488574479,695,-0.004312655423,
694,-0.00240805815,694,-0.002789553953,694,-0.002599336905,694,-0.004322189838,
693,-0.002420157194,693,-0.002753338311,693,-0.002512149746,693,-0.004388821777,
692,-0.002499744529,692,-0.002783175325,692,-0.002667931607,692,-0.004392665345,
691,-0.002477970207,691,-0.002751949243,691,-0.00255852472,691,-0.004366475623,
690,-0.002501854906,690,-0.002796704182,690,-0.00263103703,690,-0.004437046591,
689,-0.002512355801,689,-0.002704257146,689,-0.002591977594,689,-0.004375137389,
688,-0.002506024437,688,-0.002769594546,688,-0.002644982189,688,-0.004423466511,
687,-0.002576023573,687,-0.002802876756,687,-0.002685426036,687,-0.004417470191,
686,-0.002588220639,686,-0.002722315956,686,-0.002675598254,686,-0.004417521413,
685,-0.002584669739,685,-0.002775407629,685,-0.002689284971,685,-0.004415266681,
684,-0.002590279328,684,-0.002733788919,684,-0.002673025709,684,-0.004384977743,
683,-0.002665410284,683,-0.002764758887,683,-0.002679611789,683,-0.004424029961,
682,-0.002624347107,682,-0.002778494032,682,-0.002724631224,682,-0.004467895254,
681,-0.002691394417,681,-0.002765119076,681,-0.002723807935,681,-0.004444477148,
680,-0.00262326654,680,-0.002695150441,680,-0.002674826421,680,-0.00441829022,
679,-0.002658463782,679,-0.002774121473,679,-0.002742894925,679,-0.004473532084,
678,-0.002737029921,678,-0.002834150568,678,-0.002785335761,678,-0.004504019395,
677,-0.002756527858,677,-0.002766096499,677,-0.002726329025,677,-0.004489263054,
676,-0.002691960428,676,-0.002774636028,676,-0.002782918047,676,-0.004510065541,
675,-0.002754984656,675,-0.002738676267,675,-0.002722213045,675,-0.004504327197,
674,-0.002782094991,674,-0.002765119076,674,-0.002831167309,674,-0.004468048923,
673,-0.002790531376,673,-0.002755550435,673,-0.002766456455,673,-0.004521389026,
672,-0.002834716346,672,-0.002785850083,672,-0.002788627986,672,-0.004514984321,
671,-0.002839294029,671,-0.002780603245,671,-0.002829932841,671,-0.004539218731,
670,-0.002885171212,670,-0.002775150351,670,-0.00284124841,670,-0.004544854164,
669,-0.002880028216,669,-0.002763524186,669,-0.002862284658,669,-0.004566678777,
668,-0.002969815396,668,-0.002821240108,668,-0.002938191406,668,-0.004657091107,
667,-0.002960714046,667,-0.002840528497,667,-0.002937214449,667,-0.004649152048,
666,-0.002983801067,666,-0.002831167309,666,-0.002970997943,666,-0.004627177957,
665,-0.003031513887,665,-0.00288064545,665,-0.002965290332,665,-0.004685670603,
664,-0.003050535917,664,-0.002855341183,664,-0.003000717144,664,-0.004637934733,
663,-0.003054442815,663,-0.002836156404,663,-0.003000871278,663,-0.004672098439,
662,-0.003047554055,662,-0.002786519006,662,-0.002956343349,662,-0.004672047216,
661,-0.003044932149,661,-0.002749531297,661,-0.002943230793,661,-0.004624821246,
660,-0.003060457762,660,-0.002760746283,660,-0.002979893237,660,-0.004626819398,
659,-0.003055419773,659,-0.002748708241,659,-0.002972386312,659,-0.00464956183,
658,-0.003104872303,658,-0.002765273442,658,-0.002987708896,658,-0.004634349141,
657,-0.00315318862,657,-0.002779214177,657,-0.003034444293,657,-0.004669537302,
656,-0.003130521625,656,-0.002733634552,656,-0.003015884431,656,-0.004669281188,
655,-0.003135353327,655,-0.00274793664,655,-0.003021231387,655,-0.004722186364,
654,-0.003171125893,654,-0.002744386904,654,-0.003014701884,654,-0.004699806217,
653,-0.003145684488,653,-0.00271701673,653,-0.002983286977,653,-0.004657757003,
652,-0.003142908914,652,-0.002687586937,652,-0.003050175961,652,-0.004672712646,
651,-0.00316485553,651,-0.002716348041,651,-0.003016244387,651,-0.004693250638,
650,-0.003200111911,650,-0.002732914174,650,-0.003064313438,650,-0.004741441924,
649,-0.003197439481,649,-0.00271418714,649,-0.003038043156,649,-0.004730226938,
648,-0.003184025874,648,-0.002666285029,648,-0.003057990223,648,-0.004725720268,
647,-0.003218355589,647,-0.002685631858,647,-0.003088166006,647,-0.004724132363,
646,-0.003218920901,646,-0.002677296288,646,-0.003024778794,646,-0.00471148314,
645,-0.003219486214,645,-0.002670607297,645,-0.003037066199,645,-0.004723313265,
644,-0.003238499863,644,-0.002662940416,644,-0.002993518952,644,-0.004718550481,
643,-0.003238088684,643,-0.002681927057,643,-0.003042155877,643,-0.004760952201,
642,-0.003224008484,642,-0.002648841357,642,-0.003027298022,642,-0.004704313353,
641,-0.003261777805,641,-0.002621310996,641,-0.002968529938,641,-0.004742004909,
640,-0.003196771489,640,-0.002561098197,640,-0.002984932158,640,-0.004741339479,
639,-0.00325062708,639,-0.002629596042,639,-0.003016347066,639,-0.004754448775,
638,-0.003295484697,638,-0.002603814239,638,-0.003003956284,638,-0.004804630298,
637,-0.003254224081,637,-0.002569538774,637,-0.002994752955,637,-0.004714043811,
636,-0.003265426029,636,-0.002566656563,636,-0.003020922886,636,-0.004787272308,
635,-0.003316036426,635,-0.00261724554,635,-0.003035729518,635,-0.004784455989,
634,-0.003356058151,634,-0.002635668265,634,-0.003091918537,634,-0.004865761381,
633,-0.003336227499,633,-0.002689490793,633,-0.003123376984,633,-0.004890948534,
632,-0.003329394618,632,-0.002605821239,632,-0.003065187251,632,-0.004825571552,
631,-0.003333196277,631,-0.002589713084,631,-0.003064827528,631,-0.004830025602,
630,-0.003370648017,630,-0.002655170625,630,-0.003115923842,630,-0.004897859413,
629,-0.003386059077,629,-0.00257556024,629,-0.003102199407,629,-0.004870317876,
628,-0.003339772578,628,-0.002555900021,628,-0.003077062313,628,-0.004904667847,
627,-0.003339053132,627,-0.002584978472,627,-0.003048273735,627,-0.004889566451,
626,-0.003335354151,626,-0.002554767532,626,-0.003053620458,626,-0.004848047625,
625,-0.003326928476,625,-0.002524812007,625,-0.003075057408,625,-0.004865505267,
624,-0.003348608967,624,-0.002554047154,624,-0.003009560518,624,-0.004839702509,
623,-0.003307610285,623,-0.002479514573,623,-0.003054391593,623,-0.004881017376,
622,-0.003353643697,622,-0.002492898377,622,-0.003007503925,622,-0.004869191442,
621,-0.003344190773,621,-0.002501288895,621,-0.003043595469,621,-0.004904770292,
