PN,,rb,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
669,0.004396963865,669,-0.0002284094808,
668,0.004364696797,668,-0.0002267019008,
667,0.004401644692,667,-0.0002054859651,
666,0.004400284961,666,-0.0002486929297,
665,0.00445277011,665,-0.0001867012325,
664,0.004460772965,664,-0.0002119543497,
663,0.004511173349,663,-0.0002140759607,
662,0.00446181884,662,-0.0002175429545,
661,0.004533092491,661,-0.0001800772297,
660,0.004513605498,660,-0.0002052272321,
659,0.004532595631,659,-0.0001471626747,
658,0.004541829228,658,-0.0001750574011,
657,0.004521426279,657,-0.0001874774898,
656,0.004540416878,656,-0.0002220965835,
655,0.004518627655,655,-0.0002013978956,
654,0.004610290285,654,-0.0001725215989,
653,0.004633732606,653,-0.0001115541963,
652,0.004625360016,652,-0.0001745916379,
651,0.00463723857,651,-0.0001188521055,
650,0.004672194831,650,-0.0001528038702,
649,0.00462352857,649,-0.0001804912317,
648,0.004690328147,648,-0.0001375880092,
647,0.004663533997,647,-0.0001824059873,
646,0.004698858596,646,-0.0001623264543,
645,0.004740781151,645,-0.0001135727798,
644,0.004738739692,644,-0.0001067923731,
643,0.004751615692,643,-0.0001287377236,
642,0.004812780768,642,-8.355186583E-5,
641,0.004770851694,641,-8.313776925E-5,
640,0.004777185153,640,-8.018732478E-5,
639,0.004817937501,639,-9.198898624E-5,
638,0.004862044007,638,-7.899678894E-5,
637,0.004816471599,637,-9.5042873E-5,
636,0.004797783215,636,-7.62533673E-5,
635,0.004790402483,635,-0.0001146079449,
634,0.004799562972,634,-0.0001095873595,
633,0.004915265832,633,-7.972146705E-5,
632,0.00492118299,632,-4.9491151E-5,
631,0.004876991734,631,-5.409830555E-5,
630,0.004925947636,630,-1.382288701E-5,
629,0.004927675705,629,-6.688418944E-5,
628,0.004953727126,628,-2.67134983E-5,
627,0.004937441554,627,-6.626302638E-5,
626,0.004996328615,626,3.753481678E-6,
625,0.00504587451,625,6.140585901E-5,
624,0.004989913199,624,1.120876914E-5,
623,0.004972474184,623,-3.142442802E-5,
622,0.005013978109,622,1.304672423E-5,
621,0.005012223497,621,-1.501360202E-5,
620,0.005079056602,620,7.561949315E-5,
619,0.005071409047,619,4.68043545E-5,
618,0.005101973657,618,6.404660962E-5,
617,0.005125232972,617,0.0001092525272,
