AbsoluteIrradiance:245,
365,413.2821761
365,410.3908557
365,402.1554041
366,402.1384814
366,402.5659164
366,386.9343169
366,393.5354563
366,384.8335777
367,387.7965356
367,390.0922733
367,384.3706256
367,394.0087847
367,386.098085
368,391.3209273
368,383.963326
368,384.2832609
368,380.2082027
369,384.151951
369,376.9390878
369,382.9604345
369,381.1793861
369,377.8292604
370,373.9818487
370,378.2115111
370,370.8408797
370,370.8654355
370,365.4843856
371,358.074451
371,360.4787329
371,360.8624154
371,354.8055059
371,348.4903133
372,344.2139152
372,331.8738357
372,330.9430112
372,324.68441
372,321.4260893
373,317.6858422
373,310.3864582
373,306.3197125
373,296.8251413
373,291.6610888
374,285.2087076
374,279.2356739
374,278.5752421
374,268.6189152
375,261.0322664
375,255.4790522
375,248.1803712
375,243.4810127
375,238.4223347
376,237.2204822
376,232.7280919
376,224.5549401
376,225.1807874
376,213.9657088
377,208.338066
377,202.3728894
377,204.4908118
377,196.1923513
377,191.4645971
378,183.8688314
378,183.0367134
378,178.9572145
378,174.1234164
378,173.4939678
379,166.9366649
379,161.9841764
379,160.2497619
379,151.6096511
379,150.0192689
380,144.3787175
380,141.6155591
380,137.264369
380,133.857802
381,130.2356872
381,125.189424
381,125.0169133
381,120.8349444
381,116.551485
382,114.5938433
382,110.0525468
382,105.728302
382,105.1616644
382,102.2321451
383,99.97876622
383,96.76741665
383,93.39307826
383,91.48332685
383,88.61197428
384,84.45854328
384,82.44918711
384,78.22713493
384,77.53890756
384,76.33270654
385,74.03158927
385,69.51283265
385,67.53467192
385,66.37122874
385,63.93004095
386,63.4007065
386,59.46043528
386,58.4302319
386,56.52488844
386,56.71112213
387,53.14523133
387,51.49363213
387,49.18851842
387,48.34717668
388,47.50727474
388,44.35815481
388,43.58753802
388,42.10983225
388,40.98991411
389,39.96954512
389,37.83512053
389,36.698714
389,34.40265298
389,33.79738758
390,31.87821244
390,32.75216745
390,30.83571135
390,30.15044272
390,29.18888212
391,28.70231019
391,27.53760523
391,25.62680928
391,25.4095908
391,22.18049505
392,22.3855757
392,22.5241546
392,21.60420858
392,22.05843148
392,19.19905367
393,19.34130332
393,18.52526558
393,17.89352578
393,15.79886983
394,15.42112095
394,15.12331947
394,15.04754144
394,13.88867005
394,15.03819929
395,12.98207311
395,14.53831178
395,13.01037349
395,11.83595703
395,10.26952106
396,10.57399275
396,11.62189416
396,10.31227016
396,10.31503917
396,10.81862288
397,8.56166025
397,8.01526058
397,9.93156504
397,8.12449545
397,7.21578421
398,7.88702168
398,6.77958459
398,7.29752563
398,6.3827173
398,6.64182821
399,5.99212399
399,6.34904695
399,5.37228003
399,5.3125128
399,5.54798617
400,4.71320413
400,4.53076245
400,5.89007882
400,4.04881919
400,5.15616505
401,3.94940175
401,4.42363449
401,4.25995268
401,2.83704745
402,4.3400272
402,4.00199522
402,4.94569748
402,3.56439543
402,3.52170356
403,3.40315855
403,2.8701478
403,7.15669299
403,16.95021745
403,29.00692576
404,35.75341697
404,40.0737511
404,40.72872747
404,36.55644172
404,27.60211062
405,22.00831711
405,16.44151537
405,15.12899575
405,10.10751939
405,7.10913889
406,5.69513522
406,3.94718095
406,4.02454046
406,2.1249494
406,3.06251103
407,3.80203669
407,3.07521417
407,2.79826865
407,4.17689213
407,2.67572409
408,2.92518044
408,2.7874398
408,2.60831415
408,1.50366586
408,1.54091074
409,1.98550531
409,0.04994332
409,1.15198902
409,1.50008866
410,1.09387343
410,0.95766818
410,1.76777228
410,0.66704823
410,1.30281069
411,0.74236666
411,0.49204714
411,0.89465644
411,1.3553743
411,1.00872842
412,1.0457895
412,1.67674768
412,0.48950842
412,0.47021218
412,1.92226677
413,0.7368475
413,0.04931599
413,1.09973707
413,1.25279567
413,-1.02052883
414,0.64123182
414,0.08749115
414,0.6789204
414,0.67949197
414,-0.69491453
415,0.33544402
415,0.90857636
415,1.00463582
415,0.5457189
415,-0.40934335
416,0.87072135
416,-0.18015425
416,-0.00798276
416,-0.10381713
416,0.93110916
417,-0.69806418
417,0.4713493
417,0.66299585
417,0.60511543
418,1.08506337
418,0.58614056
418,1.06607659
418,0.95057695
418,0.93155143
419,0.39491955
419,0.75986501
419,1.31873167
419,-1.23945813
419,0.184714
420,0.16565392
420,0.82149437
420,0.31965044
420,0.4741783
420,-1.05070611
421,1.90063569
421,0.74460964
421,1.03387656
421,-0.43159897
421,1.72378965
422,0.22254031
422,-0.12329316
422,0.22252625
422,-0.1233576
422,0.03042893
423,0.77907907
423,0.10730579
423,0.01120325
423,0.45288209
423,-1.00786609
424,-0.29631648
424,1.6047063
424,0.41393372
424,1.50624418
424,0.20284278
425,0.45118699
425,0.69939338
425,1.10039872
425,0.64157572
425,0.94689512
426,0.08753128
426,0.1639208
426,0.0683253
426,-0.65615012
426,0.29708765
427,0.52513974
427,0.33469272
427,0.23929857
427,1.55145758
428,1.03673709
428,0.69398008
428,0.21941015
428,0.18121511
428,0.86349477
429,1.28009256
429,0.71036378
429,1.37009165
429,0.14308898
429,0.29370224
430,-0.06428414
430,0.51857902
430,0.68720372
430,0.57380533
430,0.123413
431,0.36652111
431,0.12294824
431,0.42128833
431,0.99909587
431,-0.78963989
432,0.27114281
432,-0.08196968
432,0.97459868
432,0.84261531
432,-0.15529601
433,0.41654305
433,0.56315709
433,0.17642588
433,0.5442513
433,0.56240798
434,-0.2647576
434,-0.22789117
434,-0.44738163
434,0.97950747
434,1.36394446
435,1.41773595
435,3.14892608
435,2.41789176
435,2.06705528
435,2.24759001
436,1.95173567
436,1.13564096
436,1.4064598
436,2.02072746
436,0.44439121
437,1.12862247
437,1.25433087
437,1.32404512
437,0.76494707
437,-0.29452705
438,1.37217027
438,0.4938504
438,0.52877634
438,0.0639407
438,-0.09651525
439,0.7417599
439,0.1174397
439,-0.0786622
439,-0.0252354
440,0.09932955
440,0.88295639
440,0.29523922
440,0.33091693
440,0.61497629
441,-0.07863963
441,-0.47066113
441,1.52416013
441,-0.02523344
441,0.34881382
442,0.82921743
442,0.98991188
442,1.41472906
442,0.40108052
442,-0.59338439
443,1.05753413
443,0.89739308
443,0.25864793
443,0.16997193
443,0.15230394
444,0.79154462
444,1.21909253
444,0.01035549
444,-0.14938602
444,1.69641001
445,-0.69933789
445,0.86286424
445,-0.6287318
445,-0.23838247
445,0.79260997
446,1.0412703
446,0.06372212
446,-0.41590845
446,0.90006287
446,0.17072186
447,0.74109119
447,1.40009319
447,1.16779082
447,-0.14979465
447,1.09417726
448,-0.22050829
448,0.77457428
448,-0.04290708
448,0.15252683
448,-0.00740659
449,-0.7719553
449,0.68651487
449,0.88339668
449,-0.13236972
449,0.04619212
450,-0.11484866
450,-0.0432408
450,0.35015212
450,-0.56194106
450,-0.25805676
451,0.24307611
451,0.70804607
451,-0.06102796
451,0.02825327
451,1.17096145
452,-0.22123073
452,0.11734495
452,0.70564469
452,0.02818501
452,0.45500169
453,0.64940043
453,0.52494755
453,0.18774751
453,-0.36218029
453,-0.50389239
454,-0.07813261
454,-0.53851411
454,0.45231662
454,0.36337225
454,-0.13093291
455,0.75083191
455,0.66292992
455,-0.64204283
455,1.3133162
455,0.92578796
456,0.09804974
456,-0.21775923
456,0.71089997
456,0.81547897
457,-0.70689067
457,0.55174046
457,0.42978403
457,0.60365085
457,1.00338457
458,0.42806477
458,0.46220297
458,0.41011663
458,0.6011199
458,-0.77137653
459,0.54715006
459,0.01009117
459,0.01007162
459,0.62997629
459,0.14762528
460,-0.57428483
460,0.13015668
460,0.48961753
460,0.26690357
460,-0.70717661
461,-0.27934832
461,1.13050707
461,0.0268736
461,0.78960113
461,0.36494066
462,0.11109423
462,0.86744745
462,0.89777502
462,-0.5764164
462,1.06131558
463,0.52684166
463,0.47632918
463,-0.10679479
463,0.05940106
463,0.70356873
464,0.30650303
464,-0.26994834
464,0.32129258
464,0.72933985
464,0.05836323
465,0.00947726
465,0.36547889
465,-0.50795067
465,0.5253514
465,0.23459198
466,0.23417567
466,0.0733705
466,0.80747826
466,0.0092749
466,0.34252259
467,-0.65537207
467,0.08792495
467,0.55870251
467,-0.49029274
467,0.05562972
468,0.88908264
468,0.33180738
468,0.10085978
468,0.63366394
468,0.67627826
469,0.08416316
469,0.44371142
469,0.33715286
469,0.26111667
469,0.00862699
470,-0.44803609
470,0.34598707
470,-0.03526782
470,0.57480872
470,0.48564806
471,0.13801926
471,0.09428426
471,-0.03440401
471,0.12160198
471,0.78400723
472,0.4704568
472,-0.39632182
472,-0.1724328
472,0.14609827
472,0.39218502
473,-0.30561629
473,0.14352784
473,0.60254029
473,0.55975494
473,0.58378382
474,0.07445614
474,-0.46975734
474,0.71913772
474,0.62348858
474,0.19034997
475,0.30559645
475,-0.36616285
475,0.22493797
475,0.74606676
475,0.17174141
476,0.13303057
476,0.33134878
476,0.66362261
476,-0.36266912
476,0.36214513
477,0.3955636
477,-0.69314551
477,0.28298005
477,-0.29134541
477,0.37388674
478,0.72569152
478,0.38135419
478,0.0533737
478,0.35415519
478,0.78849852
479,0.26925018
479,0.01796486
479,0.34449607
479,0.42114808
479,-0.28315629
480,0.33855887
480,-0.00457309
480,-0.01544919
480,-0.50399679
480,0.10350037
481,0.25306003
481,0.04892422
481,0.11245386
481,0.46103709
481,0.29032953
482,0.42497985
482,-0.18131207
482,0.36917717
482,0.00602462
482,0.37541368
483,-0.17756928
483,-0.00423153
483,0.30905752
483,-0.31558478
483,-0.54381909
484,0.35353413
484,0.36153071
484,0.15316367
484,0.26975788
484,-0.27668685
485,0.25763427
485,0.07313469
485,0.17840548
485,0.00557112
485,0.34765057
486,0.65921475
486,-0.12648894
486,0.10868396
486,-0.16292254
486,-0.5064879
487,-0.02237573
487,0.23568673
487,0.86870182
487,0.26138352
487,0.05081308
488,0.12330894
488,-0.14831005
488,0.20337665
488,-0.16531313
488,0.53304474
489,0.19245302
489,-0.24360247
489,0.0582814
489,0.36699766
489,0.02273818
490,0.0314531
490,0.5121401
490,-0.1168792
490,0.3435465
490,0.2647237
491,0.09128674
491,-0.13248143
491,-0.24377786
491,0.24453973
491,0.31203757
492,-0.0290499
492,0.38659975
492,0.24201613
492,0.15693228
492,0.27457826
493,0.21489891
493,0.44911474
493,-0.22946125
493,0.03826434
493,0.00485896
494,0.07958417
494,0.27808125
494,-0.25956915
494,-0.17657298
494,0.29252715
495,0.07859198
495,0.34057663
495,-0.19965285
495,-0.24017733
495,0.06988242
496,0.01287252
496,0.15897082
496,0.24776257
496,0.1341249
496,-0.08401739
497,0.12562075
497,0.06908728
497,0.27786799
497,0.46998808
497,0.14062564
498,0.3722513
498,0.00465273
498,-0.04312984
498,0.52933107
498,0.07608427
499,0.16313616
499,-0.19312432
499,0.41517669
499,0.20950192
499,0.26400155
500,0.17746992
500,0.28713079
500,0.2162268
500,0.30222034
500,0.02804152
501,0.33274206
501,0.21531791
501,-0.33866411
501,-0.29941929
501,-0.13549186
502,0.12890438
502,-0.21261117
502,0.47679193
502,0.21327521
502,0.17440511
503,0.35170056
503,-0.05720902
503,-0.17268644
503,0.40450028
503,0.18889217
504,0.38086845
504,-0.09529932
504,0.0889335
504,-0.0031962
504,-0.00319335
505,-0.12572453
505,-0.16389033
505,-0.17903508
505,-0.04140977
505,-0.13307045
506,-0.0108049
506,0.3246044
506,0.07296144
506,0.43039405
506,-0.10201046
507,-0.13228901
507,-0.07897581
507,-0.16992867
507,0.29200591
507,-0.05603267
508,-0.05601202
508,0.13283254
508,0.22339864
508,0.04967593
508,-0.28183095
509,-0.15371712
509,0.01191806
509,0.16256953
509,0.3953787
509,-0.01065643
510,0.13976117
510,-0.10832199
510,0.02690683
510,-0.06315181
510,0.19944717
510,-0.31839088
511,0.02687339
511,0.13931286
511,-0.28025904
511,-0.49004897
511,-0.04801278
512,0.34871196
512,-0.02556725
512,0.43828649
512,-0.26478361
512,0.29586439
513,-0.04048755
513,0.1761694
513,0.19848561
513,0.06407409
513,-0.38363843
514,0.46691596
514,0.06404025
514,-0.11496949
514,-0.02546338
514,0.28744386
515,0.13843702
515,-0.06265822
515,-0.345429
515,0.27968199
515,0.18286995
516,0.10848862
516,-0.04027714
516,0.24944501
516,-0.0030966
516,-0.1591757
517,0.1603801
517,-0.04026136
517,0.54702642
517,0.59890391
517,-0.17400681
518,-0.07740669
518,-0.05510189
518,0.21978115
518,-0.30012604
518,0.17511029
519,0.38292169
519,0.38299287
519,0.20461802
519,0.12297609
519,-0.30709829
520,0.37529818
520,0.00432676
520,0.28610308
520,0.46427454
520,0.03401574
521,0.03399058
521,0.33817275
521,-0.25535272
521,0.68701821
521,0.13787412
522,-0.12927326
522,0.14533193
522,0.16021937
522,0.16021766
522,0.30113453
523,-0.06250767
523,-0.23340882
523,-0.18139797
523,0.01176477
523,0.10101178
524,0.22750482
524,0.21264846
524,0.03409853
524,0.26480918
524,0.47337549
525,0.33971925
525,0.02669603
525,0.05645094
525,0.07879257
525,0.04901722
526,0.02665073
526,0.07872389
526,-0.11465743
526,-0.27823565
526,0.24220376
526,0.22739169
527,-0.12942847
527,-0.18137555
527,0.18285604
527,0.01922552
527,-0.33063933
528,0.07879601
528,-0.11484251
528,0.07893083
528,-0.12986463
528,-0.01056775
529,0.27312693
529,0.15370286
529,0.49014581
529,0.34058758
529,0.16877473
530,0.10899846
530,0.07167876
530,0.37087462
530,-0.00311635
530,0.13908542
531,0.16161785
531,0.10170085
531,0.07174976
531,-0.05556061
531,0.38672668
532,0.10187024
532,0.13198208
532,0.25224343
532,0.28227586
532,0.22984987
533,0.3576109
533,0.13215272
533,0.29773902
533,-0.13862877
533,0.65133202
534,0.50145778
534,-0.03326306
534,0.41124836
534,-0.01819846
534,-0.1614438
535,-0.0558811
535,0.30596903
535,0.4345533
535,-0.24443568
535,0.11003729
536,-0.16181095
536,0.29891195
536,0.04219677
536,0.21599344
536,0.05736746
537,0.04223173
537,-0.13190562
537,-0.0637779
537,0.37570515
537,0.1258176
538,0.0575528
538,0.27772228
538,0.12585342
538,-0.03351004
538,-0.21571607
538,-0.28434847
539,0.00443429
539,0.05764949
539,-0.20852564
539,0.12622576
539,0.24808159
540,-0.14030288
540,0.27857615
540,0.01207509
540,-0.04136642
540,-0.04902157
541,-0.07959954
541,0.37912024
541,0.02741257
541,0.04272892
541,-0.11037553
542,0.02744171
542,0.10403214
542,-0.05684494
542,0.0121411
