RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
742,0.00388865592,742,0.003762520384,742,0.01532891393,742,0.002726671984,742,0.005282708909,
741,0.003938336857,741,0.003834802425,741,0.01542535517,741,0.002830776153,741,0.00523876911,
740,0.003898920724,740,0.003841514001,740,0.01550175063,740,0.002829395235,740,0.005347775295,
739,0.003988310695,739,0.003786021145,739,0.01555285882,739,0.002854018006,739,0.005339992233,
738,0.003994319122,738,0.003889126005,738,0.01564865187,738,0.002905457048,738,0.005357865244,
737,0.003924440127,737,0.003787979716,737,0.01564459875,737,0.002877000719,737,0.005322827492,
736,0.003911275417,736,0.00388930901,736,0.01566295512,736,0.002867046511,736,0.005369920749,
735,0.003901950549,735,0.003842793638,735,0.01561548375,735,0.00284833787,735,0.005241625011,
734,0.003905711928,734,0.003873455105,734,0.01569564268,734,0.00285068294,734,0.005227582064,
733,0.003925119061,733,0.003841514001,733,0.01568096317,733,0.002887189388,733,0.005222734995,
732,0.003839137498,732,0.003755862126,732,0.01566791907,732,0.002865795745,732,0.005290334113,
731,0.003829683643,731,0.003821823047,731,0.01568603516,731,0.002911867574,731,0.00529900752,
730,0.0038554864,730,0.003751057899,730,0.01569164358,730,0.00285829138,730,0.005141315982,
729,0.003825035179,729,0.003791687777,729,0.01567460224,729,0.002927243477,729,0.005089113954,
728,0.003806441789,728,0.003785159439,728,0.01569910534,728,0.002891072305,728,0.005136338994,
727,0.003893383546,727,0.003882465884,727,0.01580314524,727,0.002896466525,727,0.00515273679,
726,0.003852221649,726,0.003830597736,726,0.01566475257,726,0.002901313361,726,0.00512520643,
725,0.003715601284,725,0.003748577321,725,0.01571633667,725,0.002790652914,725,0.005124420859,
724,0.003750091651,724,0.003822737141,724,0.01562624425,724,0.002893391531,724,0.0050896639,
723,0.003693827428,723,0.003764583264,723,0.01569035649,723,0.002921692561,723,0.005081465933,
722,0.003705183975,722,0.003782783169,722,0.01571467146,722,0.002765825251,722,0.005154517945,
721,0.003783462103,721,0.003842010163,721,0.01580311917,721,0.002849562326,721,0.005062740296,
720,0.003623787779,720,0.003810619935,720,0.01563284546,720,0.002673821757,720,0.005002717953,
719,0.003663700772,719,0.003786647925,719,0.01574258693,719,0.00279060076,719,0.005026731174,
718,0.003760301042,718,0.003878208576,718,0.01577670313,718,0.002883072244,718,0.00505794771,
717,0.003600217402,717,0.003703408642,717,0.0157888364,717,0.002794560976,717,0.004981769715,
716,0.003683802439,716,0.003778631333,716,0.01582655497,716,0.002814596286,716,0.005017146468,
715,0.003609379055,715,0.003794064047,715,0.01590350457,715,0.002771374304,715,0.004951868206,
714,0.003633028129,714,0.003788501956,714,0.01590694115,714,0.002809619764,714,0.004989258479,
713,0.003662917763,713,0.003842872102,713,0.01594778523,713,0.002775594592,713,0.005028800108,
712,0.003593170084,712,0.003787013469,712,0.01600520313,712,0.002775620669,712,0.005066013895,
711,0.003614103654,711,0.003789964132,711,0.01593591459,711,0.002866785973,711,0.005047655199,
710,0.003604811383,710,0.003821562044,710,0.01599754766,710,0.002749960404,710,0.004987896886,
709,0.003592961235,709,0.003847311949,709,0.01600920409,709,0.002742640208,709,0.005018481985,
708,0.003526200075,708,0.003819263773,708,0.0159655083,708,0.002714924049,708,0.00495006144,
707,0.003510255134,707,0.003751893295,707,0.01601052098,707,0.002708906773,707,0.004996957257,
706,0.003532933071,706,0.003782626474,706,0.01597907022,706,0.002749934327,706,0.005009709857,
705,0.003551488742,705,0.003866612213,705,0.01601648331,705,0.002736596623,705,0.004983340856,
704,0.003582181642,704,0.003855878022,704,0.01599894464,704,0.002686766675,704,0.005028407089,
703,0.003526539309,703,0.003885182086,703,0.01603869535,703,0.002706536558,703,0.0050236932,
702,0.003534785938,702,0.003840913298,702,0.01603077166,702,0.002712709829,702,0.005038306117,
701,0.003530401736,701,0.003841174534,701,0.01605376415,701,0.002706849016,701,0.005022619851,
