E2NB-298K
6792
6390
6048
5781
5571
5427
5332
5275
5250
5255
5273
5299
5333
5366
5394
5416
5429
5429
5422
5406
5379
5346
5303
5253
5202
5142
5081
5017
4948
4876
4803
4732
4657
4573
4487
4393
4296
4198
4098
3998
3898
3799
3699
3598
3501
3407
3316
3228
3150
3069
2989
2911
2836
2766
2693
2620
2548
2482
2424
2363
2304
2243
2181
2123
2067
2012
1970
1922
1870
1819
1767
1713
1657
1602
1548
1495
1441
1388
1335
1282
1231
1183
1138
1093
1051
1010
972
936
901
868
837
805
777
750
724
699
674
652
631
610
591
573
556
537
521
505
491
475
460
446
432
418
403
388
373
358
346
335
322
309
297
281
270
259
248
237
227
217
207
198
188
180
171
163
154
146
138
130
124
117
110
103
97.1
90.9
85
79.5
74.3
69.3
64.3
59.6
54.9
50.5
46.3
42.4
38.7
35.4
32.2
29.4
26.7
24.2
21.9
19.8
17.9
16.1
14.4
12.8
11.4
10.1
8.9
7.9
7
6.2
5.4
4.7
4.1
3.6
3.2
2.8
2.5
2.2
2
1.7
1.5
1.3
1.1
1
0.8
0.7
0.6
0.5
0.4
