RB,,lig,,jug,,PN,,blank,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
745,0.002711876296,745,-0.001769217779,745,0.01002616994,745,0.005224176217,745,-7.35099311E-5,
744,0.002828483237,744,-0.001722964691,744,0.01022176724,744,0.00521209836,744,3.238455247E-5,
743,0.002763350494,743,-0.001819384284,743,0.01003247499,743,0.005109071732,743,-3.468581417E-5,
742,0.002789636841,742,-0.001722552232,742,0.01014430728,742,0.005152762868,742,-3.81024729E-5,
741,0.002738993149,741,-0.001698779175,741,0.01002240833,741,0.005157215986,741,-2.541927643E-5,
740,0.002725786297,740,-0.001764835091,740,0.01011600904,740,0.005137177184,740,-8.060142864E-5,
739,0.002765174024,739,-0.001755760051,739,0.01003583893,739,0.005150248297,739,-5.61689194E-5,
738,0.00283160992,738,-0.00158046186,738,0.01030873042,738,0.005286220461,738,4.996279313E-5,
737,0.002856259001,737,-0.001633022679,737,0.0101904422,737,0.005240970291,737,0.0001255133102,
736,0.002650875831,736,-0.001746788039,736,0.01008482464,736,0.005222787615,736,-4.250268103E-5,
735,0.002633087803,735,-0.001734154648,735,0.01011272334,735,0.005128218792,735,-6.222540833E-5,
734,0.00269491924,734,-0.001725079026,734,0.01013649069,734,0.005191742443,734,-2.609227158E-5,
733,0.002605248475,733,-0.00162033434,733,0.01015795395,733,0.005209871568,733,3.986457614E-6,
732,0.002667206107,732,-0.00165391108,732,0.01013940573,732,0.005159154534,732,-3.401283175E-5,
731,0.002522313502,731,-0.001733587356,731,0.0100318389,731,0.005087751895,731,-0.000151044238,
730,0.002514137886,730,-0.001703007845,730,0.0100486083,730,0.005082487594,730,-0.0001074134852,
729,0.002492242027,729,-0.001680007321,729,0.01001006458,729,0.00513707241,729,-0.0001213882279,
728,0.00249619945,728,-0.001626008074,728,0.01012295112,728,0.005042103119,728,-0.000116885305,
727,0.002416747389,727,-0.001647257828,727,0.01008699648,727,0.005116824992,727,-0.0001100014342,
726,0.002411775524,726,-0.001615228015,726,0.01008768566,726,0.005092859268,726,-0.0001101567104,
725,0.002446683357,725,-0.001684442512,725,0.01007941924,725,0.00503534684,725,-7.941089279E-5,
724,0.002416695235,724,-0.001587374019,724,0.01000579912,724,0.005095478147,724,-7.014531002E-5,
723,0.002454987727,723,-0.001616414404,723,0.01007698197,723,0.005078192335,723,-8.909036114E-5,
722,0.00239058747,722,-0.0016628335,722,0.01003321633,722,0.005083142314,722,-0.0001535284246,
721,0.002383455634,721,-0.001618529088,721,0.009998700581,721,0.005047053099,721,-0.0001753679098,
720,0.002363778651,720,-0.001662266208,720,0.01004972123,720,0.005063525867,720,-0.0001165229987,
719,0.002362555359,719,-0.001659842208,719,0.01002015732,719,0.005119732115,719,-0.0001399687608,
718,0.002383611863,718,-0.001605118276,718,0.01010117121,718,0.005123687442,718,-0.0001149702512,
717,0.002247088123,717,-0.001714198268,717,0.009965352714,717,0.005045612808,717,-0.0001575134374,
716,0.002259708242,716,-0.001726883813,716,0.01000667363,716,0.005061090458,716,-0.0001646035671,
715,0.002290960401,715,-0.001626008074,715,0.01011436619,715,0.005167851225,715,-0.0001428670366,
714,0.002325103851,714,-0.001589643769,714,0.01005862281,714,0.005136129446,714,-0.0001140386012,
713,0.002268425189,713,-0.001553895418,713,0.01005843654,713,0.005141813308,713,-9.100553143E-5,
712,0.002220392227,712,-0.001630546874,712,0.01009081211,712,0.005103230942,712,-0.0001775932033,
711,0.002174367663,711,-0.001585774939,711,0.01001300476,711,0.005104357377,711,-0.0001776449499,
710,0.002182978904,710,-0.00158871524,710,0.01003469992,710,0.005079240073,710,-0.0002210099192,
709,0.002267098054,709,-0.001528720139,709,0.01016879175,709,0.005125154275,709,-6.605596718E-5,
708,0.002216853667,708,-0.001579739735,708,0.01009584591,708,0.005120151211,708,-0.0001584449928,
707,0.002227209043,707,-0.001544300118,707,0.01006381493,707,0.005152134225,707,-0.0001315325644,
706,0.002101347083,706,-0.001528462279,706,0.01017244905,706,0.005079108756,706,-0.0001894439629,
705,0.002131599467,705,-0.001508135232,705,0.01014385745,705,0.005130785983,705,-6.584890798E-5,
